number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url	reason
264	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	(re)focusing same pos doesn't show blank line menu	https://github.com/ProseMirror/prosemirror/issues/264	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
265	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	autoinput bug(s)	https://github.com/ProseMirror/prosemirror/issues/265	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
266	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Offset 1 out of range error thrown	https://github.com/ProseMirror/prosemirror/issues/266	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
267	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Use self-documenting varname for seralizer	https://github.com/ProseMirror/prosemirror/issues/267	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
268	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	posFromDOM gets confused after atomic inline text-base elements	https://github.com/ProseMirror/prosemirror/issues/268	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
270	CLOSED	skip	uncertain-nonportable	Skip: no portable editor invariant detected	N/A	N/A	skip	N/A	ProseMirror sets content in the wrong editor	https://github.com/ProseMirror/prosemirror/issues/270	Skipped because title/body/comments do not expose a portable Slate-v2 behavior invariant.
271	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Nonempty sequence of inline elements can be the contents of an strongly emphasized span	https://github.com/ProseMirror/prosemirror/issues/271	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
272	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Support info strings on fenced code blocks	https://github.com/ProseMirror/prosemirror/issues/272	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
273	CLOSED	skip	repo-infra	Skip: repo-infra	N/A	N/A	skip	N/A	selection_set and selection_read tests fail intermittently on Chrome	https://github.com/ProseMirror/prosemirror/issues/273	Skipped as repo-infra; no title-level portable Slate-v2 editor invariant.
275	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	ProseMirror as a single JavaScript library like CodeMirror?	https://github.com/ProseMirror/prosemirror/issues/275	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
277	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Copy & paste does not work inside the editor	https://github.com/ProseMirror/prosemirror/issues/277	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
278	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Pasting external content throws uncaught errors	https://github.com/ProseMirror/prosemirror/issues/278	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
279	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Pressing and holding down Enter key throws "Failed to find node at X" error after short amount of time	https://github.com/ProseMirror/prosemirror/issues/279	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
280	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Writing a bullet point followed by a paragrpah with text throws "Cannot read property 'replace' of null" error	https://github.com/ProseMirror/prosemirror/issues/280	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
281	CLOSED	skip	product-integration	Skip: product-integration	N/A	N/A	skip	N/A	Linear document positions breaks ActiveMarks() and command.active()	https://github.com/ProseMirror/prosemirror/issues/281	Skipped as product-integration; no title-level portable Slate-v2 editor invariant.
282	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Firefox: ⌘-A select all not working	https://github.com/ProseMirror/prosemirror/issues/282	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
283	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Clicking on an inline node that is the last element of a paragraph throws uncaught error	https://github.com/ProseMirror/prosemirror/issues/283	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
285	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Support `inclusiveLeft` and `inclusiveRight` properties for mark types	https://github.com/ProseMirror/prosemirror/issues/285	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
286	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Frequently changing the cursor position while typing throws uncaught error	https://github.com/ProseMirror/prosemirror/issues/286	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
288	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Editor freezes browser after few changes in IE11@Win7	https://github.com/ProseMirror/prosemirror/issues/288	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
290	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Provide a clean way to attach user-defined data to a schema	https://github.com/ProseMirror/prosemirror/issues/290	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
291	CLOSED	keep-portable	history-undo-redo	History, undo/redo, transaction grouping	.tmp/slate-v2/packages/slate-history/test/history-contract.ts	package history contract proof	refactor-existing/create-new	bun test ./packages/slate-history/test/history-contract.ts --test-name-pattern "history|undo|redo|batch|selection"	Certain auto input rules throw uncaught error when pressing undo	https://github.com/ProseMirror/prosemirror/issues/291	Kept for History, undo/redo, transaction grouping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
